epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,800.499,1.95585,2.92594,0.00325,0.69184,0.73583,0.73648,0.48668,1.15302,2.34161,0.00285,0.000990365,0.000990365,0.000990365
43,814.366,1.74451,3.04774,0.00342,0.66558,0.75962,0.79351,0.54468,1.03896,2.37726,0.00294,0.000973861,0.000973861,0.000973861
44,829.143,1.92591,3.64322,0.0036,0.75796,0.74091,0.86275,0.62486,1.16989,2.24554,0.00386,0.000957358,0.000957358,0.000957358
45,853.577,1.78122,3.62749,0.00395,0.75796,0.74091,0.86275,0.62486,1.16989,2.24554,0.00386,0.000940855,0.000940855,0.000940855
46,878.146,1.76181,3.09618,0.00363,0.95599,0.7847,0.94351,0.66859,1.28788,2.24421,0.00401,0.000924352,0.000924352,0.000924352
47,908.935,1.68795,3.14223,0.00333,0.94083,0.68005,0.89183,0.62475,1.28658,2.26164,0.00391,0.000907848,0.000907848,0.000907848
48,925.922,1.72679,3.13525,0.00392,0.94083,0.68005,0.89183,0.62475,1.28658,2.26164,0.00391,0.000891345,0.000891345,0.000891345
49,939.981,1.71839,3.78834,0.00458,0.92188,0.72115,0.88099,0.61605,1.22629,2.25372,0.00337,0.000874842,0.000874842,0.000874842
50,962.391,1.8504,3.3077,0.00356,0.92188,0.72115,0.88099,0.61605,1.22629,2.25372,0.00337,0.000858338,0.000858338,0.000858338
51,981.787,1.48631,3.24024,0.00349,0.7069,0.68837,0.7801,0.56013,1.17538,2.22874,0.0031,0.000841835,0.000841835,0.000841835
52,1010,1.6902,2.71283,0.00284,0.67235,0.60592,0.74771,0.53949,1.21708,2.34014,0.00306,0.000825332,0.000825332,0.000825332
53,1028.77,1.6603,2.95501,0.00359,0.67235,0.60592,0.74771,0.53949,1.21708,2.34014,0.00306,0.000808828,0.000808828,0.000808828
54,1042.98,1.68704,3.05576,0.00281,0.68892,0.63462,0.74749,0.54125,1.13917,2.41006,0.00296,0.000792325,0.000792325,0.000792325
55,1057.84,1.65106,2.65656,0.00312,0.76472,0.7233,0.77044,0.55946,1.12048,2.34146,0.00291,0.000775822,0.000775822,0.000775822
56,1072.92,1.54667,2.41826,0.00295,0.76472,0.7233,0.77044,0.55946,1.12048,2.34146,0.00291,0.000759318,0.000759318,0.000759318
57,1088.46,1.5572,3.27327,0.0037,0.89059,0.83012,0.88129,0.66981,1.11999,2.14473,0.00291,0.000742815,0.000742815,0.000742815
58,1123.22,1.42715,2.75492,0.00344,0.89059,0.83012,0.88129,0.66981,1.11999,2.14473,0.00291,0.000726312,0.000726312,0.000726312
59,1142.15,1.6466,2.95516,0.00291,0.8961,0.72504,0.90491,0.69047,1.12682,2.08103,0.00284,0.000709809,0.000709809,0.000709809
60,1157.61,1.80768,2.8461,0.0034,0.79817,0.72115,0.84462,0.66419,1.10087,2.05888,0.00275,0.000693305,0.000693305,0.000693305
61,1175.58,1.33685,2.47135,0.00281,0.79817,0.72115,0.84462,0.66419,1.10087,2.05888,0.00275,0.000676802,0.000676802,0.000676802
62,1214.17,1.33988,2.65921,0.00269,0.84499,0.73241,0.8191,0.64744,1.07544,2.01314,0.0026,0.000660299,0.000660299,0.000660299
63,1247.86,1.58188,2.99513,0.00271,0.82999,0.72115,0.82834,0.64373,1.088,1.96954,0.00269,0.000643795,0.000643795,0.000643795
64,1264.78,1.65744,2.58462,0.0031,0.82999,0.72115,0.82834,0.64373,1.088,1.96954,0.00269,0.000627292,0.000627292,0.000627292
65,1289,1.48024,2.53947,0.00275,0.77817,0.72115,0.82422,0.64793,1.10188,1.95117,0.00302,0.000610789,0.000610789,0.000610789
66,1306.58,1.48457,2.81712,0.0028,0.77817,0.72115,0.82422,0.64793,1.10188,1.95117,0.00302,0.000594286,0.000594286,0.000594286
67,1320.48,1.39364,2.50324,0.003,0.78042,0.88462,0.85311,0.65973,1.18536,1.95058,0.00345,0.000577782,0.000577782,0.000577782
68,1349.68,1.3744,2.24876,0.00279,0.84554,0.88422,0.87934,0.68245,1.22258,1.95702,0.00362,0.000561279,0.000561279,0.000561279
69,1368.51,1.37553,3.2092,0.0031,0.84554,0.88422,0.87934,0.68245,1.22258,1.95702,0.00362,0.000544776,0.000544776,0.000544776
70,1384.17,1.37108,2.43945,0.00264,0.84699,0.87761,0.92934,0.7061,1.23721,1.96563,0.00374,0.000528272,0.000528272,0.000528272
71,1412.21,1.23815,2.94211,0.00336,0.80158,0.84615,0.90057,0.68503,1.2314,1.92901,0.00363,0.000511769,0.000511769,0.000511769
72,1451.62,1.68481,2.53634,0.00283,0.80158,0.84615,0.90057,0.68503,1.2314,1.92901,0.00363,0.000495266,0.000495266,0.000495266
73,1470.5,1.46522,2.55507,0.00282,0.80886,0.84615,0.91009,0.72445,1.13912,1.87694,0.00334,0.000478762,0.000478762,0.000478762
74,1492.29,1.5588,2.28761,0.00332,0.80886,0.84615,0.91009,0.72445,1.13912,1.87694,0.00334,0.000462259,0.000462259,0.000462259
75,1515.17,1.58131,2.05486,0.00288,0.81336,0.84615,0.91221,0.73062,1.04247,1.88769,0.00294,0.000445756,0.000445756,0.000445756
76,1549.66,1.65234,2.61061,0.00304,0.9664,0.81031,0.94271,0.74916,1.00987,1.8584,0.00294,0.000429253,0.000429253,0.000429253
77,1568.91,1.31625,3.2948,0.00383,0.9664,0.81031,0.94271,0.74916,1.00987,1.8584,0.00294,0.000412749,0.000412749,0.000412749
78,1592.36,1.41628,2.31217,0.00266,0.96776,0.82195,0.94245,0.75078,0.957,1.83609,0.00284,0.000396246,0.000396246,0.000396246
79,1630.93,1.2623,2.92157,0.00299,1,0.82262,0.95157,0.73966,0.95244,1.83271,0.00277,0.000379743,0.000379743,0.000379743
80,1645.49,1.21933,2.31048,0.00308,1,0.82262,0.95157,0.73966,0.95244,1.83271,0.00277,0.000363239,0.000363239,0.000363239
81,1660.39,1.73712,2.06477,0.00257,0.97705,0.86462,0.95566,0.74085,0.94006,1.81201,0.00278,0.000346736,0.000346736,0.000346736
82,1696.65,1.43785,2.54172,0.00278,0.97705,0.86462,0.95566,0.74085,0.94006,1.81201,0.00278,0.000330233,0.000330233,0.000330233
83,1722.23,1.68983,3.01332,0.00262,0.93254,0.85992,0.95365,0.75831,0.93849,1.79144,0.00284,0.000313729,0.000313729,0.000313729
84,1740.86,1.27595,2.48099,0.00299,0.91372,0.85641,0.95011,0.74756,0.93952,1.77296,0.00294,0.000297226,0.000297226,0.000297226
85,1764.89,1.46238,2.14561,0.00234,0.91372,0.85641,0.95011,0.74756,0.93952,1.77296,0.00294,0.000280723,0.000280723,0.000280723
86,1804.51,1.42658,2.33256,0.00268,0.88034,0.86202,0.92721,0.73786,0.9255,1.7657,0.00302,0.00026422,0.00026422,0.00026422
87,1823.13,1.3525,2.61725,0.0029,0.88342,0.86669,0.92327,0.73439,0.92419,1.75114,0.00301,0.000247716,0.000247716,0.000247716
88,1836.99,1.29197,2.31078,0.00304,0.88342,0.86669,0.92327,0.73439,0.92419,1.75114,0.00301,0.000231213,0.000231213,0.000231213
89,1861,1.27927,2.47176,0.00282,0.87889,0.87043,0.92653,0.74824,0.93134,1.70006,0.00303,0.00021471,0.00021471,0.00021471
90,1880.86,1.305,2.43093,0.00251,0.87889,0.87043,0.92653,0.74824,0.93134,1.70006,0.00303,0.000198206,0.000198206,0.000198206
91,1914.23,1.18728,3.04257,0.00291,0.87159,0.87388,0.93152,0.74911,0.89811,1.7225,0.00239,0.000181703,0.000181703,0.000181703
92,1935.41,1.28142,3.31462,0.00274,0.97935,0.86059,0.95969,0.77059,0.92156,1.71348,0.0025,0.0001652,0.0001652,0.0001652
93,1949.74,1.45053,3.66802,0.00311,0.97935,0.86059,0.95969,0.77059,0.92156,1.71348,0.0025,0.000148696,0.000148696,0.000148696
94,1976.85,1.45889,3.46929,0.00341,0.99177,0.85134,0.96052,0.76421,0.88131,1.74698,0.00228,0.000132193,0.000132193,0.000132193
95,1997.21,1.38952,3.25743,0.00242,1,0.8321,0.96337,0.76291,0.9074,1.72901,0.00227,0.00011569,0.00011569,0.00011569
96,2011.62,1.27805,3.4957,0.00283,1,0.8321,0.96337,0.76291,0.9074,1.72901,0.00227,9.91865e-05,9.91865e-05,9.91865e-05
97,2036.75,1.31385,3.24871,0.00249,1,0.79236,0.96337,0.76632,0.92771,1.73513,0.00226,8.26832e-05,8.26832e-05,8.26832e-05
98,2079.42,1.27974,3.5935,0.00272,1,0.79236,0.96337,0.76632,0.92771,1.73513,0.00226,6.61799e-05,6.61799e-05,6.61799e-05
99,2109.51,1.33812,3.08639,0.00248,1,0.79123,0.965,0.7675,0.92875,1.72365,0.00227,4.96766e-05,4.96766e-05,4.96766e-05
100,2126.33,1.18063,3.26607,0.0037,1,0.81684,0.965,0.77786,0.93236,1.72143,0.00224,3.31733e-05,3.31733e-05,3.31733e-05
